ID,Nume_Cantec,Artist,NumarAparitii,Avalable,Plays
5NybQDA5y4wEtRQKVZWBQw,TURURU,"Satra B.E.N.Z., Alduts Sherdley",2,1,31
4TZLqO1lqyZgyvLt25NbVg,7 Zile,"HVNDS, Satra B.E.N.Z.",1,1,16
3wgpIKqm52EMA8QDct1pTh,PORNO POP IT,"IDK, Satra B.E.N.Z.",2,1,35
4r6Gg1OXKfgk6Mt0cXTTXZ,Să vă dăm la muie,Satra B.E.N.Z.,1,1,16
3NNOPipRfFLcaxTZnlIP9M,DRICK,Satra B.E.N.Z.,1,1,20
5b9OKblPngUmx0e1n8094y,"OU, OU","Satra B.E.N.Z., RAVA, M.G.L.",3,1,38
04pUXytluFboOf4nJm3UZi,START,"Satra B.E.N.Z., alex",1,1,17
75IAjRnzbeKnYeY4fg7p4m,NO CAP,Satra B.E.N.Z.,1,1,24
3braXg86PHN6OTBLZhH8C2,Cimitir,"Satra B.E.N.Z., Macanache",1,1,15
1uyYFh7Pu5SYGTueMy23Le,VAG,"Satra B.E.N.Z., MVRCU",1,1,11
2f2n42L2VAkVcC8UFikb0H,Vreau să ți-o pun,"Satra B.E.N.Z., XENO",1,1,19
3sxzPFiy6VrVHTvYkU0lkJ,TOBA ȘI Q BASSU,"Satra B.E.N.Z., BRUJA",2,1,21
4Ec5RQYuXCKucgQsvXZcNu,Vara în cartier,"Satra B.E.N.Z., AlbertNbn",2,1,22
0hutHBb59ntTLa2EOHCLCK,Inima ta,Satra B.E.N.Z.,1,1,12
0SsWy6m6XxO9q5Q17no5S6,Școala vieții,"Satra B.E.N.Z., Amuly",1,1,10
5CVzlpSX7O8InwOvubCBXd,Prietena ta,"Satra B.E.N.Z., Alduts Sherdley",3,1,44
3QDsVO3Js8BI8afQJHbLLB,Prima zăpadă,"Satra B.E.N.Z., EMAA",1,1,15
781T9dSF8QyhbXRKAL397W,Cimitir,"Satra B.E.N.Z., Macanache",2,1,10
4b0YmyNyEoJzVZx96fV4aN,VIU CA UNIVERSUL,"HVNDS, Satra B.E.N.Z., Dj Sfera",1,1,14
1QONvkzJ8NyRbKEWXKjmId,Fii tot ce poti,"Smiley, Satra B.E.N.Z.",1,1,20
5nBgLUseLuH3oBmTg2QXaJ,Bucuresti,"Azteca, Amuly, Satra B.E.N.Z.",2,1,27
2cKNKIY3MvvrW6Gsj0oREJ,Rapper,"DEM, Satra B.E.N.Z.",1,1,11
5qSulsAVkZsBR9J4tl7OIo,New Saraiman,"Damian & Brothers, Satra B.E.N.Z.",1,1,12
6xoaW98w08I2NSFtcTHcHg,Repeat,"Satra B.E.N.Z., NANE",2,1,11
59xxPUpA2BhB4U1SpVZGVp,FS,"Satra B.E.N.Z., NANE",2,1,11
1vj0tW4pcvlanCQfOh9iRn,Atentie,"Satra B.E.N.Z., Oscar",2,1,13
5Ex4J36TpRz8k660Tq2zJq,Bank,"Satra B.E.N.Z., Ian",2,1,20
0IhP5BHTgy63BzXiQAyHua,Manele Death Metal,Satra B.E.N.Z.,2,1,11
0M428fm915tBsCWkgjE4Xi,Mondiali,"Satra B.E.N.Z., NANE",2,1,11
49d9lPAoUzNj1e5eJHUJWp,Adidasii,"Satra B.E.N.Z., Damia",3,1,19
4orcHN6zG70MyUketGW0ZU,Gradinita,"Satra B.E.N.Z., Oscar, Amuly",2,1,10
6Rc6d8cdnYlzP1EU5uQ8OI,Praf in Vant,Satra B.E.N.Z.,2,1,13
6dr5837ceRRX73wCpZkIDQ,Satra Se Intoarce Din Nou,Satra B.E.N.Z.,3,1,14
05urKxYElTAUn5ZjUDfuR3,Satra Se Intoarce,Satra B.E.N.Z.,2,1,32
3fmkuAnDadmRCHOynIS3OY,Din Caruta,Satra B.E.N.Z.,3,1,12
2V8V8Xg9udLiAQGV43tJ49,Doo Kile,Satra B.E.N.Z.,1,1,18
70cdBV60VoZ2F1Jc8F92Cn,Tanar Vesnic Satrabont,Satra B.E.N.Z.,1,1,14
6avFbYNNhtbpNTKBp3hmio,Bernabeu,Satra B.E.N.Z.,2,1,17
6sEbn076OpBZrcPQmO6QPW,Gandaci De Bucatarie,"Satra B.E.N.Z., NANE",2,1,13
4JMxuLkHJfEGMhNDlmZUx2,Inger Ingerasul Meu,"Satra B.E.N.Z., ADDA, Shift",1,1,21
59yuzlrPOhLYZNiJdMS2ol,Pume Sumbre,Satra B.E.N.Z.,2,1,11
1McPxuAov0QRUfYoe94h6a,Dubai,"Satra B.E.N.Z., Jakoban",2,1,31
51i9PHvvAYTIlvuHmAKWUc,10,Satra B.E.N.Z.,2,1,12
3jfeqaGibgyMeUy4Wo6iRF,Carabinieri,"Satra B.E.N.Z., GOLANI",2,1,12
7k2qUjsvBQBvhNJr5iVMcT,Coracao,Satra B.E.N.Z.,2,1,10
1829Abh18aUFMDUISnS3XN,Groparul,Satra B.E.N.Z.,1,1,10
7fbRYPrFLTU5FefCzIXFS1,Fcvplm,"Satra B.E.N.Z., NANE",1,1,10
5GpOTScjU4uQsQrj0tVAlt,Iarta-Ma Mama,Satra B.E.N.Z.,1,1,15
5tCrLFCA7xVrSsuypQ4y4b,Banda Benzito,"Satra B.E.N.Z., Domnul Udo",1,1,10
6zGKZaN8ikALI24xq3ridp,Din Satra Nu Pleaca Nimeni,Satra B.E.N.Z.,1,1,10
6UKqz05yLwZsfup1PPu0zA,Doina (feat. Satra B.E.n.Z. & Grasu Xxl),"Maximilian, Satra B.E.N.Z., Grasu XXL",1,1,13
0WY8Quy5XCZENngfyBrH4B,Scrum,"Petre Stefan, Dhali",1,1,49
5EGtEaDy1AZnMxtymaqc3e,BOSS,DZWS,1,1,44
70lIMzCAltgvTJRFJe8s2Y,MUZEU,"OG Eastbull, NOUA UNSPE",1,1,35
0ub7PGAoZAeRiinkrRnlKh,paradyse,IDK,1,1,51
1elG9fCIfhyBouqhwadB7v,Antidot,"Pepy, Sami G",1,1,45
1iiB8Tpe1H5ewwxcUPzyKy,Loop,"Alexandra Stan, IDK",1,1,43
4ZxBrHSfCjPElw9ORfO9Zr,FUCK BITCHES,KYOTO,1,1,18
7im5tThaWivEMVsOwc2RFd,Point 'Em Out,Aris & Edi,1,1,14
4SSi7MmPW6ezSsNfZBp4xP,Petre PETREcere,"Petre Stefan, CRBL",1,1,35
6vYHbhVVt2JqzzR1NGzzDO,"BOOCI, BOOCI","Vali Miron, AlbertNbn",1,1,39
4Th29ikUGFJzpKWoirnjt7,SUNETE,"DZWS, Yakki, andrei",1,1,32
5rAArOCAb4jxO9AMCuGmef,CLEOPATRA,IDK,1,1,43
2TMLnhAtlKRTzU45ag82se,Victoria,"OG Eastbull, Guess Who, Oscar",1,1,26
4pQ3FJp0MrkAhoIDLPzfhD,PIRAMIDA/LABIRINT,"Tussin, Ian",1,1,32
2Ds2qexeQKtOCGv8Zzo7Mu,GRADELE II,DZWS,1,1,34
79Ejt7dTMGxM8vG8Ok4wH9,HIGHLIGHTS,"Aris & Edi, IDK",1,1,22
2uGsauwmdmhXM83hBzwdAZ,Gangsta's Paradise,"OG Eastbull, M.G.L.",1,1,29
3vUPQUaFGT0as5u4Q5n7Lu,Asta-i problema,"COMANN, DZWS, Vali Miron",1,1,39
1I3gcC1HKpVLPioF1Kjgsn,On Your Mind,Bianca Ionescu,1,1,26
0SISwhQdXkdEtgVF1KLsne,Cine,Katalean,1,1,11
45Y2c2co6uAp3Dzs90Acm1,HONEY,Laurmaurmei,1,1,15
662ZqKU7ItOGLubTvaBddJ,Feel It,Oze,1,1,10
16yvMl7Tl821n2TLNBPcU6,Don't Go,Lexx,1,1,12
5QDepNm5SkqnG4AyIYWQD6,Fierbinte,COMANN,1,1,13
5RuV7f3rEoQeqZ8YvT4mVZ,TEL AVIV,BLANCO,1,1,28
01527Sby5IvKQUDeAi28Ov,De ce mă suni?,Pepy,1,1,19
5mgJEaEot6C7N4SdpzWSyK,Mașină de bani,"COMANN, El Nino",1,1,21
1DnIvjsDkZqUixC0DYC2zz,Geamu Jos,"Shift, Ruby, OG Eastbull",1,1,28
2hlTaKVJwFeYv4uxxEGuro,Inima,"Endru, Pepy",1,1,14
4ULGWCPPadrpPvWdumBHG1,Dernière Cigarette,"Francis On My Mind, Killa Fonic",1,1,35
0Kl8m9UN88f7NpjugjPMLt,Amor,"Pepy, COMANN",1,1,24
2TPCbtaXlKvgyBOedKQ3yX,OCHI ALBAȘTRI,"Petre Stefan, Bianca Ionescu",1,1,42
0WsECbbUCSuG6mMgQskeDq,Designer,"censu, Sp!ce",1,1,10
48bekDxCpIfr98J1KfyNh6,TURE PRIN L.A.,"Ade, Yung Zeki",1,1,20
4j3gnTulHwQC9uTw8R2Vq3,Lup Sălbatic,Vali Miron,1,1,24
2uTlcq7smEkWdXV9mFmJ5K,ATENȚIE,"DZWS, andrei",1,1,34
4Mh8vy4bOw8Z1Ij4GfjtMR,UNDIVIDED,"Aris & Edi, Stefan Costea",1,1,10
597k2S6uxllabugggVA6hX,OKAY,"Petre Stefan, YNY Sebi, Bvcovia, Marko Glass, Scuze!",1,1,37
3DyR5ENYLNzEqQWl8bL7nr,FLYAWAY,Tussin,1,1,26
52KHk29WdiA2DhI5ijDMZh,TOTU' GATA,Petre Stefan,1,1,40
497ajVuyy2PY2GAvaWp9uS,SUPERSTAR,"Keed, RAVA, Sami G",1,1,34
5YXB5br5uqSPc6RGdFKGE0,MAFIA,"BLANCO, M.G.L.",1,1,24
1BhxROmMZpykm6qlc670SR,ȘTII…,"Tussin, Oscar",1,1,31
11FlVTrIcPbuxqn4i2q8rj,Audemars Piguet,"OG Eastbull, Aerozen",1,1,27
5iwpKIUrEI8ZNJRMYMfySL,LUMEA NOUĂ,"IDK, RAVA",1,1,37
4hGvlpa7KCW41fYBggsdPy,MARFA COLOMBIA,"Vali Miron, COMANN",1,1,28
70WFlv0Amzke8MgjfM5MUu,Poate,"Endru, IDK",1,1,35
4UT5u2Qvd43ubrrEpcxdVK,Flori de Lavandă,"Keed, Feli",1,1,21
3rItGGlHqib34C0uiPnvr4,OAMENI DE 2 LEI,"DZWS, andrei",1,1,37
4IFRWZe9VBXTUBtlVcJmH2,HIP-HOP,"Keed, NOSFE, Macanache, Vlad Dobrescu, Dj Sfera",1,1,11
4D5qK5hpvgU07LS83UhGJG,Uber,Tussin,1,1,31
6xCiEdYc7mOoxO3c9K3Cp1,REGELE S-A ÎNTORS,Keed,1,1,12
0AFTEC66MiVSaRN0AobM2n,Sânge pe pat și pe podea,"Petre Stefan, Bvcovia",1,1,44
5M7InvKD88wV48S7IgW7pe,O DOAMNE,"Tussin, Aerozen",1,1,34
21lvS2OJlPSNjJNBx3nwJV,Ok Okey,"Oscar, Ian",1,1,40
3995zNbShIbwkcBZrRavYB,PORNO,"DZWS, andrei",1,1,34
6VQ955KM1zNzpLdLSBFSCv,Seara din nou,"IDK, Marko Glass, Bvcovia",1,1,43
0gVlP2WjoHA67LwmZkCAIi,SĂ IASĂ RĂU,Petre Stefan,1,1,28
7KniTX8HcvCh8dbxJp1FRJ,Vor să ne alergăm,DZWS,1,1,29
2ItmiFI3ydREqmCdsZjQqK,COLENTINA TEI,"Petre Stefan, Aerozen",1,1,38
6Azao63d9eyYjA4aLHl6m0,Sensibil La Lumina,"Tussin, Amuly, Azteca",1,1,41
4JFCfrdTFHrV5ACYiGQzxo,"De la fripturi la șpritzuri, de la salate la plicuri",Raul Ws,1,1,36
6QpIqIMc20mrrSiWlMI0Ff,Inec Amar,"Rafoo, RAVA",1,1,35
57IsffOrxFWdkFiwpFT8d4,B 808 ZEN,"Tussin, Aerozen",1,1,29
3igkIE4vMUtQhszZVP9pdK,Promite-mi,"IDK, Berechet",1,1,22
0FpPvnahrNohMOMy1utqcc,INTRO,Killa Fonic,1,1,15
5RWYavr9Uuzd9VZ9YFvXXR,TRISTA'N DISTORS,Killa Fonic,1,1,22
6hNfQy9nySxyfiSbIuf2Zj,KIND REMINDER,Killa Fonic,1,1,29
6ezUMnK1A3uh6l5rFNA0Ap,COCO COLOMBIANA,Killa Fonic,1,1,27
6AsxzZwySFbocKB23pXZeQ,REAL NEVA DIE,Killa Fonic,1,1,23
2WarYmIZXRHsARFNptnkvd,SUV,Killa Fonic,1,1,22
1oanM8lNb88L5ZuKkVp9va,Brasileira - From “TEAMBUILDING” The Movie,"Killa Fonic, RAVA",1,1,43
08BiqanO41PJL0qjVz6Nto,Paris,Killa Fonic,1,1,27
1lJQeVWiEJ5TQC5J2uUKbB,Doar O Adresă,Killa Fonic,1,1,23
7lLe68z2Hj3ZLEnyEYLaAW,ARD,Killa Fonic,1,1,30
7jnAO6WG3KQ8NlxuyfR7ui,2Pac Familia,"Killa Fonic, Puya, Cabron",1,1,24
6tsAp70no5sXVFjtOO3DSB,Când câinii de pază NU dorm,Killa Fonic,1,1,12
37eFtg5MgffZzsIp63ogsn,33,Killa Fonic,1,1,20
0WeUFQjjT4wxkRJQLA2P4q,Cartieru' a luat-o razna,"Killa Fonic, NOUA UNSPE",1,1,21
0HdkR49iBIXFAAUy1TCjQt,Armada,"Killa Fonic, EMAA",1,1,26
2h4MXVryopX2dTsCTrZC8E,F14D12,Killa Fonic,1,1,23
0x4CWCKkn2CsxQ5UMr2QsR,Ia-l De Cap,Killa Fonic,1,1,14
3mzDvBol6bcXjnl5LTBNTP,Trinidad,"Killa Fonic, RAVA, XENO",1,1,21
3ROqeM4muJZs4XzLwZjURU,Vitamina,Killa Fonic,1,1,21
6PPU2L6XRr9njn7GnLkAT7,Stai,"Killa Fonic, NANE",1,1,26
25aV4rdE98Euy3KLTSVbyw,O Coc,Killa Fonic,1,1,15
4Uu4qupP22xYqxOyxZ97tp,Du-te,"Vlad Flueraru, Killa Fonic, Nova Marrie",1,1,17
